"Hospital.Primary.Key","total_hospitalizations"
"390183",0
"390168",26
"390079",0
"392044",0
"390228",0
"392039",0
"390231",0
"390025",0
"390204",0
"390028",12
"390071",0
"390072",0
"390196",0
"390178",4
"391308",0
"390048",4
"390036",0
"390016",10
"391315",0
"390004",0
"390039",0
"390335",8
"390142",19
"392025",0
"390321",0
"390093",0
"390107",0
"390337",0
"390268",0
"390110",0
"392050",0
"390316",0
"390278",0
"390307",0
"390073",0
"390211",0
"390111",33
"390199",0
"390326",0
"390063",16
"390201",0
"390156",0
"390037",0
"390002",0
"390137",12
"390114",11
"390086",0
"390153",7
"391309",0
"390096",4
"391300",0
"390062",0
"390151",0
"392037",0
"390333",0
"391314",8
"390195",41
"390100",56
"390066",0
"392031",0
"390304",0
"390184",0
"390217",0
"390041",12
"390225",0
"390139",30
"390203",11
"390265",9
"393303",0
"390256",44
"390044",0
"390027",23
"391302",0
"390162",0
"390119",11
"390052",0
"392043",0
"390323",0
"390050",13
"390163",0
"392036",0
"391305",0
"390328",0
"390197",0
"390145",7
"390327",0
"390226",0
"390173",9
"393307",0
"392027",0
"390138",0
"392033",0
"390068",0
"390133",50
"392028",0
"390267",6
"390179",29
"390219",0
"390090",6
"390113",5
"390233",5
"390046",0
"391312",0
"390115",17
"390012",0
"390058",0
"390164",12
"390013",12
"391317",0
"390067",37
"392047",0
"390147",6
"393304",0
"390198",0
"390032",0
"390065",6
"390334",0
"391304",0
"390009",22
"390127",0
"390266",0
"390146",0
"39L113",0
"390104",0
"393302",22
"390003",0
"390101",12
"393309",0
"390314",0
"390237",4
"390329",0
"390057",12
"390272",0
"391307",0
"390045",0
"391303",0
"390325",0
"390322",0
"390091",0
"390042",0
"392045",0
"390123",0
"390332",0
"390174",0
"390330",0
"390150",0
"390331",0
"391301",0
"390157",0
"390194",0
"390222",21
"390001",4
"390026",0
"390160",0
"390336",0
"390006",5
"390097",12
"390324",0
"390258",33
"390049",12
